LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 788839, 0, 85.89838991226347, 86.15384615384613, 85.80636582941307,
1, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
2, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
3, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
4, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
5, 393599, 0, 87.4148562369315, 91.42857142857167, 86.05042016806695,
6, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
7, 52619, 0, 77.93527414956937, 81.26984126984131, 76.79543427858046,
8, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
9, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
10, 423167, 0, 81.30690720212115, 96.24060150375907, 76.99248120300554,
11, 656639, 0, 76.9925984553809, 96.24060150375907, 71.80645915305986,
12, 54548, 0, 80.4533883656858, 93.32421964000906, 76.63485189416774,
13, 656639, 0, 76.9925984553809, 96.24060150375907, 71.80645915305986,
14, 656639, 0, 76.9925984553809, 96.24060150375907, 71.80645915305986,
15, 603839, 0, 56.97942663524549, 98.84169884169849, 49.420849420849244,
16, 866687, 0, 40.50893970784312, 98.84169884170095, 33.3924658248987,
17, 81399, 0, 61.34251093525778, 95.84649584649583, 54.28474101040496,
18, 866687, 0, 40.50893970784312, 98.84169884170095, 33.3924658248987,
19, 866687, 0, 40.50893970784312, 98.84169884170095, 33.3924658248987,
20, 114551, 0, 2.6604910019284405, 98.43730773963343, 1.9687461547927914,
